0,0,0,0
0.5,-0.031373,0,0
0.992157,-0.125,0,0
1.46875,-0.279412,0,0
1.9223,-0.492188,0,0
2.3457,-0.759988,0,0
2.73231,-1.07861,0,0
3.07605,-1.44306,0,0
3.37154,-1.84763,0,0
3.61414,-2.28595,0,0
3.80005,-2.75116,0,0
3.92635,-3.23596,0,0
3.99106,-3.73275,0,0
3.99317,-4.23373,0,0
3.93263,-4.73104,0,0
3.81041,-5.21689,0,0
3.62841,-5.68364,0,0
3.38949,-6.12399,0,0
3.09741,-6.53102,0,0
2.75674,-6.89834,0,0
2.37283,-7.2202,0,0
1.95169,-7.49155,0,0
1.49994,-7.70812,0,0
1.02466,-7.86653,0,0
0.533306,-7.96429,0,0
0.0335871,-7.99986,0,0
-0.466659,-7.97269,0,0
-0.959584,-7.88319,0,0
-1.43746,-7.73279,0,0
-1.89278,-7.52383,0,0
-2.31841,-7.25959,0,0
-2.70768,-6.94423,0,0
-3.05447,-6.58267,0,0
-3.35335,-6.18061,0,0
-3.59962,-5.74434,0,0
-3.78943,-5.2807,0,0
-3.9198,-4.79698,0,0
-3.98868,-4.30075,0,0
-3.99499,-3.79981,0,0
-3.93863,-3.30201,0,0
-3.82049,-2.81515,0,0
-3.64242,-2.34688,0,0
-3.40721,-1.90455,0,0
-3.11855,-1.49508,0,0
-2.78098,-1.12491,0,0
-2.39978,-0.799836,0,0
-1.98094,-0.524963,0,0
-1.53102,-0.304602,0,0
-1.05709,-0.142208,0,0
-0.566574,-0.0403291,0,0
-0.0671718,-0.000564047,0,0
0,0,-0.5,0
0.5,-0.031373,-0.5,0
0.992157,-0.125,-0.5,0
1.46875,-0.279412,-0.5,0
1.9223,-0.492188,-0.5,0
2.3457,-0.759988,-0.5,0
2.73231,-1.07861,-0.5,0
3.07605,-1.44306,-0.5,0
3.37154,-1.84763,-0.5,0
3.61414,-2.28595,-0.5,0
3.80005,-2.75116,-0.5,0
3.92635,-3.23596,-0.5,0
3.99106,-3.73275,-0.5,0
3.99317,-4.23373,-0.5,0
3.93263,-4.73104,-0.5,0
3.81041,-5.21689,-0.5,0
3.62841,-5.68364,-0.5,0
3.38949,-6.12399,-0.5,0
3.09741,-6.53102,-0.5,0
2.75674,-6.89834,-0.5,0
2.37283,-7.2202,-0.5,0
1.95169,-7.49155,-0.5,0
1.49994,-7.70812,-0.5,0
1.02466,-7.86653,-0.5,0
0.533306,-7.96429,-0.5,0
0.0335871,-7.99986,-0.5,0
-0.466659,-7.97269,-0.5,0
-0.959584,-7.88319,-0.5,0
-1.43746,-7.73279,-0.5,0
-1.89278,-7.52383,-0.5,0
-2.31841,-7.25959,-0.5,0
-2.70768,-6.94423,-0.5,0
-3.05447,-6.58267,-0.5,0
-3.35335,-6.18061,-0.5,0
-3.59962,-5.74434,-0.5,0
-3.78943,-5.2807,-0.5,0
-3.9198,-4.79698,-0.5,0
-3.98868,-4.30075,-0.5,0
-3.99499,-3.79981,-0.5,0
-3.93863,-3.30201,-0.5,0
-3.82049,-2.81515,-0.5,0
-3.64242,-2.34688,-0.5,0
-3.40721,-1.90455,-0.5,0
-3.11855,-1.49508,-0.5,0
-2.78098,-1.12491,-0.5,0
-2.39978,-0.799836,-0.5,0
-1.98094,-0.524963,-0.5,0
-1.53102,-0.304602,-0.5,0
-1.05709,-0.142208,-0.5,0
-0.566574,-0.0403291,-0.5,0
-0.0671718,-0.000564047,-0.5,0
0,0,-1,0
0.5,-0.031373,-1,0
0.992157,-0.125,-1,0
1.46875,-0.279412,-1,0
1.9223,-0.492188,-1,0
2.3457,-0.759988,-1,0
2.73231,-1.07861,-1,0
3.07605,-1.44306,-1,0
3.37154,-1.84763,-1,0
3.61414,-2.28595,-1,0
3.80005,-2.75116,-1,0
3.92635,-3.23596,-1,0
3.99106,-3.73275,-1,0
3.99317,-4.23373,-1,0
3.93263,-4.73104,-1,0
3.81041,-5.21689,-1,0
3.62841,-5.68364,-1,0
3.38949,-6.12399,-1,0
3.09741,-6.53102,-1,0
2.75674,-6.89834,-1,0
2.37283,-7.2202,-1,0
1.95169,-7.49155,-1,0
1.49994,-7.70812,-1,0
1.02466,-7.86653,-1,0
0.533306,-7.96429,-1,0
